STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,7/1/15,,,1.8,,,27.2,11.7,17.2
USC00312200,7/2/15,,,6.4,,,26.1,17.2,17.8
USC00312200,7/3/15,,,25.4,,,23.9,17.2,18.3
USC00312200,7/4/15,,,27.9,,,23.3,17.8,17.8
USC00312200,7/5/15,,,16.5,,,23.9,17.8,22.8
USC00312200,7/6/15,,,3.8,,,25,16.7,16.7
USC00312200,7/7/15,,,0,,,27.8,16.1,16.1
USC00312200,7/8/15,,,0,,,30.6,15.6,17.2
USC00312200,7/9/15,,,0.5,,,30,17.2,17.8
USC00312200,7/10/15,,,0,,,31.7,15.6,15.6
USC00312200,7/11/15,,,0,,,32.2,15.6,18.9
USC00312200,7/12/15,,,0,,,30,18.9,24.4
USC00312200,7/13/15,,,0,,,28.9,18.3,18.9
USC00312200,7/14/15,,,0,,,31.7,18.3,19.4
USC00312200,7/15/15,,,30.7,,,27.8,18.3,20
USC00312200,7/16/15,,,0,,,27.8,15,15
USC00312200,7/17/15,,,0,,,30.6,15,17.2
USC00312200,7/18/15,,,0,,,31.7,17.2,18.3
USC00312200,7/19/15,,,0,,,32.2,18.3,30
USC00312200,7/20/15,,,0,,,31.7,18.9,19.4
USC00312200,7/21/15,,,8.4,,,32.2,18.9,19.4
USC00312200,7/22/15,,,0,,,31.7,18.3,18.3
USC00312200,7/23/15,,,0,,,31.1,18.3,20
USC00312200,7/24/15,,,2.8,,,25.6,20,21.1
USC00312200,7/25/15,,,0,,,31.1,19.4,22.8
USC00312200,7/26/15,,,0,,,30.6,20,28.9
USC00312200,7/27/15,,,0,,,30.6,19.4,19.4
USC00312200,7/28/15,,,0,,,31.7,19.4,20
USC00312200,7/29/15,,,0,,,32.8,19.4,20
USC00312200,7/30/15,,,0,,,32.2,20,20
USC00312200,7/31/15,,,0.5,,,32.8,17.8,18.3
USC00312200,8/1/15,,,0,,,28.3,15.6,15.6
USC00312200,8/2/15,,,0,,,30,12.2,25
USC00312200,8/3/15,,,0,,,30,14.4,16.1
USC00312200,8/4/15,,,0,,,31.7,13.9,14.4
USC00312200,8/5/15,,,0,,,32.8,13.9,17.2
USC00312200,8/6/15,,,0,,,32.2,17.2,18.3
USC00312200,8/7/15,,,6.6,,,27.8,17.8,20
USC00312200,8/8/15,,,1.3,,,27.2,17.2,18.3
USC00312200,8/9/15,,,0,,,31.1,18.3,29.4
USC00312200,8/10/15,,,0,,,31.7,17.8,18.3
USC00312200,8/11/15,,,3,,,30,18.3,20
USC00312200,8/12/15,,,0,,,30.6,17.2,17.8
USC00312200,8/13/15,,,0,,,28.3,13.3,14.4
USC00312200,8/14/15,,,9.9,,,28.9,14.4,17.2
USC00312200,8/15/15,,,34.3,,,27.8,16.7,17.2
USC00312200,8/16/15,,,0.5,,,26.7,16.1,16.1
USC00312200,8/17/15,,,0,,,28.9,16.1,17.2
USC00312200,8/18/15,,,6.1,,,28.3,17.2,18.9
USC00312200,8/19/15,,,14.2,,,26.7,18.9,19.4
USC00312200,8/20/15,,,10.4,,,28.3,19.4,21.1
USC00312200,8/21/15,,,0.5,,,28.9,18.9,19.4
USC00312200,8/22/15,,,0.5,,,28.3,16.7,18.3
USC00312200,8/23/15,,,1.5,,,28.9,18.3,21.1
USC00312200,8/24/15,,,1.3,,,26.7,18.9,18.9
USC00312200,8/25/15,,,0,,,30,15.6,15.6
USC00312200,8/26/15,,,0,,,28.9,12.8,12.8
USC00312200,8/27/15,,,0,,,28.9,12.8,14.4
USC00312200,8/28/15,,,0,,,27.2,13.9,14.4
USC00312200,8/29/15,,,0,,,27.2,13.3,13.3
USC00312200,8/30/15,,,0,,,27.2,13.3,17.2
USC00312200,8/31/15,,,2.8,,,22.8,15,15.6
USC00312200,9/1/15,,,0,,,29.4,15.6,16.1
USC00312200,9/2/15,,,1.5,,,31.1,16.1,17.8
USC00312200,9/3/15,,,0.3,,,30.6,17.8,20
USC00312200,9/4/15,,,0.3,,,31.1,15.6,16.1
USC00312200,9/5/15,,,0.5,,,31.7,15,15.6
USC00312200,9/6/15,,,0,,,27.2,15.6,16.1
USC00312200,9/7/15,,,0,,,27.8,15,15
USC00312200,9/8/15,,,0.5,,,26.7,15,16.7
USC00312200,9/9/15,,,0,,,27.8,16.7,18.9
USC00312200,9/10/15,,,3.8,,,26.7,18.3,18.3
USC00312200,9/11/15,,,0,,,26.1,18.3,18.9
USC00312200,9/12/15,,,0.8,,,28.9,16.7,16.7
USC00312200,9/13/15,,,0,,,21.7,7.2,11.1
USC00312200,9/14/15,,,0,,,20,4.4,4.4
USC00312200,9/15/15,,,0,,,24.4,4.4,7.8
USC00312200,9/16/15,,,0,,,25.6,7.2,7.8
USC00312200,9/17/15,,,0,,,22.8,7.2,8.9
USC00312200,9/18/15,,,0,,,27.2,8.9,11.1
USC00312200,9/19/15,,,0,,,28.3,10.6,12.8
USC00312200,9/20/15,,,0,,,28.3,10.6,13.9
USC00312200,9/21/15,,,0,,,28.3,13.9,15.6
USC00312200,9/22/15,,,0,,,22.8,14.4,15
USC00312200,9/23/15,,,0,,,24.4,13.9,13.9
USC00312200,9/24/15,,,0,,,27.2,12.2,12.8
USC00312200,9/25/15,,,15.7,,,24.4,12.8,13.9
USC00312200,9/26/15,,,34,,,16.7,13.9,15.6
USC00312200,9/27/15,,,0.5,,,21.7,15,15
USC00312200,9/28/15,,,0,,,23.3,15,17.8
USC00312200,9/29/15,,,7.6,,,25.6,17.8,18.9
USC00312200,9/30/15,,,33.3,,,22.2,17.2,17.8
USC00312200,10/1/15,,,0,,,26.7,16.7,17.2
USC00312200,10/2/15,,,31.8,,,23.3,14.4,14.4
USC00312200,10/3/15,,,19.1,,,15.6,13.3,13.3
USC00312200,10/4/15,,,27.9,,,16.7,13.3,15
USC00312200,10/5/15,,,0.3,,,22.2,13.9,13.9
USC00312200,10/6/15,,,0,,,26.1,12.8,13.9
USC00312200,10/7/15,,,0,,,26.7,11.1,11.1
USC00312200,10/8/15,,,0,,,26.1,10.6,11.7
USC00312200,10/9/15,,,0,,,25.6,11.1,11.7
USC00312200,10/10/15,,,10.9,,,23.3,11.7,15.6
USC00312200,10/11/15,,,14.2,,,16.1,13.3,13.3
USC00312200,10/12/15,,,0,,,22.2,11.7,12.2
USC00312200,10/13/15,,,15,,,22.8,12.2,12.2
